-650 -449 0 1
-650 -449 0 1
-636 -449 0 1
-621 -449 0 1
-606 -449 0 1
-591 -449 0 1
-576 -449 0 1
-561 -449 0 1
-546 -449 0 1
-531 -449 0 1
-516 -449 0 1
-501 -449 0 1
-486 -449 0 1
-471 -449 0 1
-456 -449 0 1
-441 -449 0 1
-426 -449 0 1
-411 -449 0 1
-396 -449 0 1
-381 -449 0 1
-366 -449 0 1
-351 -449 0 1
-336 -449 0 1
-321 -449 0 1
-306 -449 0 1
-291 -449 0 1
-276 -449 0 1
-261 -449 0 1
-246 -449 0 1
-231 -449 0 1
-216 -449 1 0
-202 -449 1 0
-187 -449 1 0
-172 -449 1 0
-157 -449 1 0
-142 -449 1 0
-127 -449 1 0
-112 -449 1 0
-97 -449 1 0
-82 -449 1 0
-67 -449 1 0
-52 -449 1 0
-37 -449 1 0
-22 -449 1 0
-7 -449 1 0
8 -449 1 0
23 -449 1 0
38 -449 1 0
50 -449 1 0
-650 -620 1 0
-650 -620 0 1
-630 -620 0 1
-609 -620 0 1
-589 -620 0 1
-568 -620 0 1
-547 -620 0 1
-527 -620 0 1
-506 -620 0 1
-485 -620 0 1
-465 -620 0 1
-444 -620 1 0
-423 -620 1 0
-403 -620 1 0
-382 -620 1 0
-361 -620 1 0
-341 -620 1 0
-320 -620 1 0
-299 -620 1 0
-279 -620 1 0
-258 -620 1 0
-237 -620 1 0
-217 -620 1 0
-196 -620 1 0
-175 -620 1 0
-155 -620 1 0
-134 -620 1 0
-113 -620 1 0
-93 -620 1 0
-72 -620 1 0
-51 -620 0 1
-650 -579 0 1
-650 -579 0 1
-631 -579 0 1
-612 -579 0 1
-593 -579 0 1
-573 -579 0 1
-554 -579 0 1
-535 -579 0 1
-515 -579 0 1
-496 -579 0 1
-477 -579 0 1
-458 -579 0 1
-438 -579 0 1
-419 -579 0 1
-400 -579 0 1
-380 -579 0 1
-361 -579 0 1
-342 -579 0 1
-322 -579 0 1
-303 -579 0 1
-284 -579 0 1
-265 -579 0 1
